,date,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,fighter_1,fighter_2,location,weight_class,winner,body_abs_1,body_abs_2,body_att_1,body_att_2,body_def_1,body_def_2,body_land_1,body_land_2,clinch_abs_1,clinch_abs_2,clinch_att_1,clinch_att_2,clinch_def_1,clinch_def_2,clinch_land_1,clinch_land_2,ground_abs_1,ground_abs_2,ground_att_1,ground_att_2,ground_def_1,ground_def_2,ground_land_1,ground_land_2,head_abs_1,head_abs_2,head_att_1,head_att_2,head_def_1,head_def_2,head_land_1,head_land_2,kd_1,kd_2,leg_abs_1,leg_abs_2,leg_att_1,leg_att_2,leg_def_1,leg_def_2,leg_land_1,leg_land_2,td_abs_1,td_abs_2,td_att_1,td_att_2,td_def_1,td_def_2,td_land_1,td_land_2
0,2024-07-27,Decision - Split,3,5:00,Shauna Bannon,Alice Ardelean,"Manchester, England, United Kingdom",Women's Strawweight Bout,Shauna Bannon,10,22,36,15,5,14,22,10,3,4,5,3,0,1,4,3,4,0,0,5,1,0,0,4,42,44,119,84,42,75,44,42,0,0,5,11,14,6,1,3,11,5,2,0,2,4,2,2,0,2
1,2022-07-23,Decision - Unanimous,3,5:00,Claudio Silva,Nicolas Dalby,"London, England, United Kingdom",Welterweight Bout,Nicolas Dalby,9,4,5,12,3,1,4,9,16,0,1,21,5,1,0,16,8,0,0,14,6,0,0,8,32,4,13,78,46,9,4,32,0,0,4,3,3,4,0,0,3,4,1,4,12,1,0,8,4,1
2,2022-07-30,Decision - Unanimous,3,5:00,Orion Cosce,Blood Diamond,"Dallas, Texas, USA",Welterweight Bout,Orion Cosce,26,10,13,29,3,3,10,26,29,9,14,37,8,5,9,29,0,8,11,1,1,3,8,0,28,14,38,55,27,24,14,28,0,0,9,1,1,14,5,0,1,9,0,3,8,1,1,5,3,0
3,2022-08-06,Submission,1,1:17,Mayra Bueno Silva,Stephanie Egger,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Mayra Bueno Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,6,1,1,11,5,0,1,6,0,0,2,3,3,2,0,0,3,2,1,0,0,1,0,0,0,1
4,2022-08-13,Decision - Majority,3,5:00,Youssef Zalal,Da'Mon Blackshear,"San Diego, California, USA",Bantamweight Bout,Draw,6,13,14,11,5,1,13,6,0,5,7,0,0,2,5,0,0,16,29,0,0,13,16,0,10,43,126,42,32,83,43,10,0,0,11,7,10,16,5,3,7,11,1,1,1,5,4,0,1,1
5,2022-08-20,KO/TKO,1,3:39,Daniel Lacerda,Victor Altamirano,"Salt Lake City, Utah, USA",Flyweight Bout,Victor Altamirano,9,3,4,10,1,1,3,9,2,2,6,2,0,4,2,2,41,4,6,53,12,2,4,41,48,14,36,71,23,22,14,48,1,1,1,5,5,2,1,0,5,1,0,0,0,0,0,0,0,0
6,2022-09-03,Submission,2,4:54,Stephanie Egger,Ailin Perez,"Paris, Ile-de-France, France",Women's Featherweight Bout,Stephanie Egger,9,3,3,12,3,0,3,9,6,3,3,6,0,0,3,6,2,7,8,3,1,1,7,2,7,9,16,20,13,7,9,7,0,0,0,3,3,2,2,0,3,0,1,2,7,3,2,5,2,1
7,2022-09-10,Decision - Split,3,5:00,Darian Weeks,Yohan Lainesse,"Las Vegas, Nevada, USA",Welterweight Bout,Yohan Lainesse,5,10,19,7,2,9,10,5,1,3,8,1,0,5,3,1,0,0,0,0,0,0,0,0,10,14,60,46,36,46,14,10,0,0,8,20,29,13,5,9,20,8,0,1,9,2,2,8,1,0
8,2022-09-17,KO/TKO,1,3:49,Nikolas Motta,Cameron VanCamp,"Las Vegas, Nevada, USA",Lightweight Bout,Nikolas Motta,4,1,3,10,6,2,1,4,0,0,0,0,0,0,0,0,0,9,10,0,0,1,9,0,7,22,41,26,19,19,22,7,1,0,4,1,1,4,0,0,1,4,0,0,0,0,0,0,0,0
9,2022-10-01,Submission,1,1:04,Guido Cannetti,Randy Costa,"Las Vegas, Nevada, USA",Bantamweight Bout,Guido Cannetti,2,3,3,4,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,3,4,1,0,0,0,0,4,5,0,0,1,4,0,0,1,1,0,0,0,1,0
10,2022-10-15,KO/TKO,1,1:33,Mike Jackson,Pete Rodriguez,"Las Vegas, Nevada, USA",Welterweight Bout,Pete Rodriguez,8,2,2,8,0,0,2,8,6,1,1,8,2,0,1,6,3,0,0,4,1,0,0,3,12,8,13,23,11,5,8,12,0,1,2,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0
11,2022-10-22,Decision - Majority,3,5:00,Karol Rosa,Lina Lansberg,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Women's Bantamweight Bout,Karol Rosa,20,13,16,20,0,3,13,20,16,15,20,16,0,5,15,16,2,15,16,2,0,1,15,2,15,31,46,39,24,15,31,15,0,1,1,10,12,1,0,2,10,1,0,3,6,0,0,3,3,0
12,2022-10-29,Submission,1,4:07,Christian Rodriguez,Joshua Weems,"Las Vegas, Nevada, USA",Bantamweight Bout,Christian Rodriguez,6,0,0,7,1,0,0,6,6,0,1,7,1,1,0,6,0,1,1,0,0,0,1,0,9,8,21,15,6,13,8,9,0,0,3,1,2,4,1,1,1,3,2,0,2,3,1,2,0,2
