body_abs,body_att,body_def,body_land,clinch_abs,clinch_att,clinch_def,clinch_land,date,decision_method,distance_abs,distance_att,distance_def,distance_land,fight_duration_lastrnd,fight_duration_lastrnd_time,fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,fighter_id,fighter_name,fighter_status,ground_abs,ground_att,ground_def,ground_land,head_abs,head_att,head_def,head_land,kd,leg_abs,leg_att,leg_def,leg_land,location,n_pass,n_rev,n_sub,sig_str_abs,sig_str_att,sig_str_def,sig_str_land,td_abs,td_att,td_def,td_land,time_format,total_str_abs,total_str_att,total_str_def,total_str_land,weight_class,winner
"[10, 22]","[36, 15]","[5, 14]","[22, 10]","[3, 4]","[5, 3]","[0, 1]","[4, 3]","July 27, 2024",Decision - Split,"[50, 73]","[164, 97]","[47, 91]","[73, 50]",3,5:00,dff2ef8fdde8c502,Shauna Bannon,9c442aaf149ea982,Alice Ardelean,87f8699fdcc2c404,"9c442aaf149ea982,87f8699fdcc2c404","Shauna Bannon,Alice Ardelean","W,L","[4, 0]","[0, 5]","[1, 0]","[0, 4]","[42, 44]","[119, 84]","[42, 75]","[44, 42]","[0, 0]","[5, 11]","[14, 6]","[1, 3]","[11, 5]","Manchester, England, United Kingdom","[0, 0]","[10, 354]","[0, 0]","[57, 77]","[169, 105]","[48, 92]","[77, 57]","[2, 0]","[2, 4]","[2, 2]","[0, 2]",3 Rnd (5-5-5),"[80, 151]","[252, 139]","[59, 101]","[151, 80]",Women's Strawweight Bout,Shauna Bannon
"[24, 26]","[36, 34]","[10, 10]","[26, 24]","[1, 8]","[10, 2]","[1, 2]","[8, 1]","July 16, 2022",Decision - Unanimous,"[115, 55]","[234, 203]","[88, 179]","[55, 115]",3,5:00,b1af3bd0f8266a90,Jessica Penne,c742287ed86a09bc,Emily Ducote,02f8fedc18cbd26c,"c742287ed86a09bc,02f8fedc18cbd26c","Jessica Penne,Emily Ducote","L,W","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[41, 37]","[208, 113]","[72, 171]","[37, 41]","[0, 0]","[51, 0]","[0, 58]","[7, 0]","[0, 51]","Elmont, New York, USA","[0, 0]","[0, 0]","[0, 0]","[116, 63]","[244, 205]","[89, 181]","[63, 116]","[0, 0]","[8, 0]","[0, 8]","[0, 0]",3 Rnd (5-5-5),"[117, 68]","[249, 206]","[89, 181]","[68, 117]",Women's Strawweight Bout,Emily Ducote
"[9, 4]","[5, 12]","[3, 1]","[4, 9]","[16, 0]","[1, 21]","[5, 1]","[0, 16]","July 23, 2022",Decision - Unanimous,"[21, 11]","[20, 59]","[38, 9]","[11, 21]",3,5:00,1c84dafe38694c05,Claudio Silva,6f7c616b98e18c29,Nicolas Dalby,9d19d9e4aa2662e8,"6f7c616b98e18c29,9d19d9e4aa2662e8","Claudio Silva,Nicolas Dalby","L,W","[8, 0]","[0, 14]","[6, 0]","[0, 8]","[32, 4]","[13, 78]","[46, 9]","[4, 32]","[0, 0]","[4, 3]","[3, 4]","[0, 0]","[3, 4]","London, England, United Kingdom","[0, 1]","[437, 257]","[0, 1]","[45, 11]","[21, 94]","[49, 10]","[11, 45]","[1, 4]","[12, 1]","[0, 8]","[4, 1]",3 Rnd (5-5-5),"[61, 46]","[59, 114]","[53, 13]","[46, 61]",Welterweight Bout,Nicolas Dalby
"[26, 10]","[13, 29]","[3, 3]","[10, 26]","[29, 9]","[14, 37]","[8, 5]","[9, 29]","July 30, 2022",Decision - Unanimous,"[34, 8]","[27, 60]","[26, 19]","[8, 34]",3,5:00,66f7bb31d24b3b36,Orion Cosce,2c010b26a3306969,Blood Diamond,9edf2c9082cc2cd8,"2c010b26a3306969,9edf2c9082cc2cd8","Orion Cosce,Blood Diamond","W,L","[0, 8]","[11, 1]","[1, 3]","[8, 0]","[28, 14]","[38, 55]","[27, 24]","[14, 28]","[0, 0]","[9, 1]","[1, 14]","[5, 0]","[1, 9]","Dallas, Texas, USA","[0, 0]","[566, 68]","[0, 0]","[63, 25]","[52, 98]","[35, 27]","[25, 63]","[0, 3]","[8, 1]","[1, 5]","[3, 0]",3 Rnd (5-5-5),"[90, 77]","[107, 126]","[36, 30]","[77, 90]",Welterweight Bout,Orion Cosce
"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","August 06, 2022",Submission,"[2, 4]","[4, 7]","[5, 0]","[4, 2]",1,1:17,a274ed04c36d40d4,Mayra Bueno Silva,cc8c623cca88f54f,Stephanie Egger,5e6294b37bbef029,"cc8c623cca88f54f,5e6294b37bbef029","Mayra Bueno Silva,Stephanie Egger","W,L","[6, 0]","[0, 6]","[0, 0]","[0, 6]","[6, 1]","[1, 11]","[5, 0]","[1, 6]","[0, 0]","[2, 3]","[3, 2]","[0, 0]","[3, 2]","Las Vegas, Nevada, USA","[0, 0]","[0, 44]","[1, 0]","[8, 4]","[4, 13]","[5, 0]","[4, 8]","[1, 0]","[0, 1]","[0, 0]","[0, 1]",3 Rnd (5-5-5),"[12, 4]","[4, 17]","[5, 0]","[4, 12]",Women's Bantamweight Bout,Mayra Bueno Silva
"[6, 13]","[14, 11]","[5, 1]","[13, 6]","[0, 5]","[7, 0]","[0, 2]","[5, 0]","August 13, 2022",Decision - Majority,"[27, 42]","[114, 69]","[42, 72]","[42, 27]",3,5:00,e05a18b6ce22fa1f,Youssef Zalal,52c2ae6d2f2d2613,Da'Mon Blackshear,da22387a0407a2dc,"52c2ae6d2f2d2613,da22387a0407a2dc","Youssef Zalal,Da'Mon Blackshear","D,D","[0, 16]","[29, 0]","[0, 13]","[16, 0]","[10, 43]","[126, 42]","[32, 83]","[43, 10]","[0, 0]","[11, 7]","[10, 16]","[5, 3]","[7, 11]","San Diego, California, USA","[1, 2]","[292, 231]","[1, 1]","[27, 63]","[150, 69]","[42, 87]","[63, 27]","[1, 1]","[1, 5]","[4, 0]","[1, 1]",3 Rnd (5-5-5),"[40, 82]","[179, 91]","[51, 97]","[82, 40]",Bantamweight Bout,Draw
"[9, 3]","[4, 10]","[1, 1]","[3, 9]","[2, 2]","[6, 2]","[0, 4]","[2, 2]","August 20, 2022",KO/TKO,"[15, 16]","[33, 28]","[13, 17]","[16, 15]",1,3:39,06d6cde7479711ee,Daniel Lacerda,31bb0772f21cabd8,Victor Altamirano,dc7927cd622676a7,"31bb0772f21cabd8,dc7927cd622676a7","Daniel Lacerda,Victor Altamirano","L,W","[41, 4]","[6, 53]","[12, 2]","[4, 41]","[48, 14]","[36, 71]","[23, 22]","[14, 48]","[1, 1]","[1, 5]","[5, 2]","[1, 0]","[5, 1]","Salt Lake City, Utah, USA","[0, 0]","[3, 115]","[0, 0]","[58, 22]","[45, 83]","[25, 23]","[22, 58]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",3 Rnd (5-5-5),"[94, 27]","[51, 123]","[29, 24]","[27, 94]",Flyweight Bout,Victor Altamirano
"[9, 3]","[3, 12]","[3, 0]","[3, 9]","[6, 3]","[3, 6]","[0, 0]","[3, 6]","September 03, 2022",Submission,"[8, 5]","[11, 25]","[17, 6]","[5, 8]",2,4:54,ce62a50e97d497f9,Stephanie Egger,5e6294b37bbef029,Ailin Perez,06e4245d16fc5315,"5e6294b37bbef029,06e4245d16fc5315","Stephanie Egger,Ailin Perez","W,L","[2, 7]","[8, 3]","[1, 1]","[7, 2]","[7, 9]","[16, 20]","[13, 7]","[9, 7]","[0, 0]","[0, 3]","[3, 2]","[2, 0]","[3, 0]","Paris, Ile-de-France, France","[1, 0]","[419, 93]","[1, 0]","[16, 15]","[22, 34]","[18, 7]","[15, 16]","[1, 2]","[7, 3]","[2, 5]","[2, 1]",3 Rnd (5-5-5),"[41, 47]","[64, 61]","[20, 17]","[47, 41]",Women's Featherweight Bout,Stephanie Egger
"[5, 10]","[19, 7]","[2, 9]","[10, 5]","[1, 3]","[8, 1]","[0, 5]","[3, 1]","September 10, 2022",Decision - Split,"[22, 41]","[100, 65]","[43, 59]","[41, 22]",3,5:00,86d57e8ef2191316,Darian Weeks,326a001926ffb7ec,Yohan Lainesse,f998f5c102250d6e,"326a001926ffb7ec,f998f5c102250d6e","Darian Weeks,Yohan Lainesse","L,W","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 14]","[60, 46]","[36, 46]","[14, 10]","[0, 0]","[8, 20]","[29, 13]","[5, 9]","[20, 8]","Las Vegas, Nevada, USA","[0, 0]","[109, 17]","[0, 0]","[23, 44]","[108, 66]","[43, 64]","[44, 23]","[0, 1]","[9, 2]","[2, 8]","[1, 0]",3 Rnd (5-5-5),"[24, 49]","[113, 67]","[43, 64]","[49, 24]",Welterweight Bout,Yohan Lainesse
"[4, 1]","[3, 10]","[6, 2]","[1, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","September 17, 2022",KO/TKO,"[15, 15]","[35, 40]","[25, 20]","[15, 15]",1,3:49,8a044e5400b4318f,Nikolas Motta,37f560436d745c18,Cameron VanCamp,87e2468b986ebb79,"37f560436d745c18,87e2468b986ebb79","Nikolas Motta,Cameron VanCamp","W,L","[0, 9]","[10, 0]","[0, 1]","[9, 0]","[7, 22]","[41, 26]","[19, 19]","[22, 7]","[1, 0]","[4, 1]","[1, 4]","[0, 0]","[1, 4]","Las Vegas, Nevada, USA","[0, 0]","[5, 0]","[0, 0]","[15, 24]","[45, 40]","[25, 21]","[24, 15]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",3 Rnd (5-5-5),"[15, 24]","[45, 40]","[25, 21]","[24, 15]",Lightweight Bout,Nikolas Motta
